商品ｺｰﾄﾞ,商品名,商品名索引,単位
703032I001019,10mmｺｰﾅｰﾓｰﾙ ﾌﾞﾗｯｸﾒﾀﾘｯｸ8291,10mmｺｰﾅｰ,ｍ
703032I001020,10mmｺｰﾅｰﾓｰﾙ ﾌﾞﾙｰ27-1289,10mmｺｰﾅｰ,ｍ
703032I001021,10mmｺｰﾅｰﾓｰﾙ ﾍﾞｰｼﾞｭ1542,10mmｺｰﾅｰ,ｍ
703032I001022,10mmｺｰﾅｰﾓｰﾙ ﾍﾞｰｼﾞｭ2387,10mmｺｰﾅｰﾓｰ,ｍ
703032I001023,10mmｺｰﾅｰﾓｰﾙ ﾜｲﾝﾚｯﾄﾞ23-1126,10mmｺｰﾅｰ,ｍ
703032I001024,10mmｺｰﾅｰﾓｰﾙ 黒(着色黒) 単価確認,10mmｺｰﾅｰ,ｍ
703032I001025,10mmｺｰﾅｰﾓｰﾙ 黒0016,10mmｺｰﾅｰ,ｍ
703032I001026,10mmｺｰﾅｰﾓｰﾙ 茶1076,10mmｺｰﾅｰ,ｍ
703032I001027,10mmｺｰﾅｰﾓｰﾙ 茶1288,10mmｺｰﾅｰ,ｍ
703032I001028,10mmｺｰﾅｰﾓｰﾙ 茶1469,10mmｺｰﾅｰ,ｍ
703032I001029,10mmｺｰﾅｰﾓｰﾙ 茶1953,10mmｺｰﾅｰ,ｍ
703032I001030,10mmｺｰﾅｰﾓｰﾙ 茶28-1022,10mmｺｰﾅｰ,ｍ
703032I001031,10mmｺｰﾅｰﾓｰﾙ 茶28-1126,10mmｺｰﾅｰ,ｍ
703032I001032,10mmｺｰﾅｰﾓｰﾙ 茶28-1923,10mmｺｰﾅｰ,ｍ
703032I001033,10mmｺｰﾅｰﾓｰﾙ 茶28-1926,10mmｺｰﾅｰ,ｍ
703032I001034,10mmｺｰﾅｰﾓｰﾙ 茶28-1957,10mmｺｰﾅｰ,ｍ
703032I001035,10mmｺｰﾅｰﾓｰﾙ 茶28-1957,10mmｺｰﾅｰ,ｍ
703032I001036,10mmｺｰﾅｰﾓｰﾙ(ﾗﾊﾞﾛﾝ)1100m以下 単価確認,10mmｺｰﾅｰ,式
703032I001037,10mmｺｰﾅｰﾓｰﾙ(ﾗﾊﾞﾛﾝ)1200m以上 単価確認,10mmｺｰﾅｰ,ｍ
703032I002001,30mm PVCﾃｰﾌﾟ ｱｰｽｸﾞﾘｰﾝ8629,30mm PVCﾃｰ,ｍ
703032I002002,30mm PVCﾃｰﾌﾟ ﾈｲﾋﾞｰ8717,30mm PVCﾃｰ,ｍ
703032I002003,30mm PVCﾃｰﾌﾟ ﾑｰﾝｼﾙﾊﾞｰ8396,30mm PVCﾃｰ,ｍ
703032I002004,30mmPVCﾃｰﾌﾟ ｶﾞｰﾈｯﾄｽﾀｰ,30mmPVC,ｍ
703032I002005,30mmPVCﾃｰﾌﾟ ｺﾛﾅﾚｯﾄﾞ,30mmPVC,ｍ
703032I002006,30mmPVCﾃｰﾌﾟ ｼﾙﾊﾞｰ(8367),30mmPVC,ｍ
703032I002007,30mmPVCﾃｰﾌﾟ ｽﾀｰﾌﾞﾗｯｸ,30mmPVC,ｍ
703032I002008,30mmPVCﾃｰﾌﾟ ﾑｰﾝｼﾙﾊﾞｰ,30mmPVC,ｍ
703032I003001,8mmﾊﾟｲﾌﾟ芯　本社,8mmﾊﾟｲﾌﾟｼﾝ,ｍ
703032I004001,A14ﾌｧｽﾅｰG ﾌﾘｰｳｫｰｶｰD 49 L=1530 ﾌﾞﾗｯｸ,H14ﾌｧｽﾅｰ,本
703032I004002,A14ﾌｧｽﾅｰG ﾌﾘｰｳｫｰｶｰD 60 L=1895 ﾌﾞﾗｯｸ,H14ﾌｧｽﾅｰG,本
703032I004003,A14ﾌｧｽﾅｰG ﾌﾘｰｳｫｰｶｰD 67 L=2155 ﾌﾞﾗｯｸ,H14ﾌｧｽﾅｰG,本
703032I005001,A14ﾌｧｽﾅｰG ﾏｯｸｽﾊﾟｽ 35 L=1605 ﾌﾞﾗｯｸ,H14ﾌｧｽﾅｰG,本
703032I006001,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 49 L=1520 Dﾌﾞﾗｳﾝ2519,A14ﾌｧｽﾅｰｶﾞ,本
703032I006002,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 49 L=1525 ﾌﾞﾗｯｸ0014,H14ﾌｧｽﾅｰ,本
703032I006003,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 58 L=1810 Dﾌﾞﾗｳﾝ2519,A14ﾌｧｽﾅｰｶﾞ,本
703032I006004,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 58 L=1815 ﾌﾞﾗｯｸ0014,H14ﾌｧｽﾅｰ,本
703032I006005,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 69 L=2170 Dﾌﾞﾗｳﾝ2519,A14ﾌｧｽﾅｰｶﾞ,本
703032I006006,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 69 L=2175 ﾌﾞﾗｯｸ0014,H14ﾌｧｽﾅｰ,本
703032I006007,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ L=1530 Dﾌﾞﾗｳﾝ2519,A14ﾌｧｽﾅｰｶﾞ,本
703032I006008,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ L=1895 Dﾌﾞﾗｳﾝ2519,A14ﾌｧｽﾅｰｶﾞ,本
703032I006009,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ L=2155 Dﾌﾞﾗｳﾝ2519,A14ﾌｧｽﾅｰｶﾞ,本
703032I007001,A16FG ｾﾝﾁｭﾘｰZ 47 L=1580 ﾌﾞﾗｳﾝ7883,H16ﾌｧｽﾅｰG,本
703032I007002,A16FG ｾﾝﾁｭﾘｰZ 64 L=2105 ﾌﾞﾗｳﾝ7883,A16ﾌｧｽﾅｰ,本
703032I007003,A16FG ｾﾝﾁｭﾘｰZ 75 L=2485 ﾌﾞﾗｳﾝ7883,A16ﾌｧｽﾅｰ,本
703032I007004,A16FG ｾﾝﾁｭﾘｰZ 47 L=1580 ﾌﾞﾗｯｸ0014,H16ﾌｧｽﾅｰG,本
703032I007005,A16FG ｾﾝﾁｭﾘｰZ 64 L=2105 ﾌﾞﾗｯｸ0014,A16ﾌｧｽﾅｰ,本
703032I007006,A16FG ｾﾝﾁｭﾘｰZ 75 L=2485 ﾌﾞﾗｯｸ0014,A16ﾌｧｽﾅｰ,本
703032I008001,A16FG ﾎﾟｹｯﾄﾗｲﾅｰ 49 L=1560 ﾌﾞﾗｯｸ0014,A16ﾌｧｽﾅｰ,本
703032I008002,A16FG ﾎﾟｹｯﾄﾗｲﾅｰ 64 L=2070 ﾌﾞﾗｯｸ0014,A16ﾌｧｽﾅｰ,本
703032I008003,A16FG ﾎﾟｹｯﾄﾗｲﾅｰ 70 L=2265 ﾌﾞﾗｯｸ0014,A16ﾌｧｽﾅｰ,本
703032I008004,A16FG ﾎﾟｹｯﾄﾗｲﾅｰ 57 L=1870 ﾌﾞﾗｯｸ0014,A16ﾌｧｽﾅｰ,本
703032I008011,A16FG ﾎﾟｹｯﾄﾗｲﾅｰ 49 L=1560 ﾌﾞﾗｳﾝ7883,A16ﾌｧｽﾅｰ,本
703032I008012,A16FG ﾎﾟｹｯﾄﾗｲﾅｰ 64 L=2070 ﾌﾞﾗｳﾝ7883,A16ﾌｧｽﾅｰ,本
703032I008013,A16FG ﾎﾟｹｯﾄﾗｲﾅｰ 70 L=2265 ﾌﾞﾗｳﾝ7883,A16ﾌｧｽﾅｰ,本
703032I009001,A16ﾌｧｽﾅｰｶﾞｰﾄﾞ 49 L=1545 ﾌﾞﾗｳﾝ7883,H16ﾌｧｽﾅｰG,本
