表示ｺｰﾄﾞ,新商品ｺｰﾄﾞ案,商品名,商品名索引,単位,製品長さ(mm),ｶｯﾄ長さ(mm),得意先(検索)ｺｰﾄﾞ
1,703032I004701,30mmPVCﾃｰﾌﾟ ﾑｰﾝｼﾙﾊﾞｰ,30mmPVC,ｍ,0,0,703032
1,703032I004801,8mmﾊﾟｲﾌﾟ芯　本社,8mmﾊﾟｲﾌﾟｼﾝ,ｍ,0,0,703032
1,703032I004901,A14ﾌｧｽﾅｰG ﾌﾘｰｳｫｰｶｰD 49 L=1530 ﾌﾞﾗｯｸ,H14ﾌｧｽﾅｰ,本,0,0,703032
1,703032I004902,A14ﾌｧｽﾅｰG ﾌﾘｰｳｫｰｶｰD 60 L=1895 ﾌﾞﾗｯｸ,H14ﾌｧｽﾅｰG,本,0,0,703032
1,703032I004903,A14ﾌｧｽﾅｰG ﾌﾘｰｳｫｰｶｰD 67 L=2155 ﾌﾞﾗｯｸ,H14ﾌｧｽﾅｰG,本,0,0,703032
1,703032I005101,A14ﾌｧｽﾅｰG ﾏｯｸｽﾊﾟｽ 35 L=1605 ﾌﾞﾗｯｸ,H14ﾌｧｽﾅｰG,本,0,0,703032
1,703032I005201,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 49 L=1520 Dﾌﾞﾗｳﾝ2519,A14ﾌｧｽﾅｰｶﾞ,本,0,0,703032
1,703032I005301,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 49 L=1525 ﾌﾞﾗｯｸ0014,H14ﾌｧｽﾅｰ,本,0,0,703032
1,703032I005202,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 58 L=1810 Dﾌﾞﾗｳﾝ2519,A14ﾌｧｽﾅｰｶﾞ,本,0,0,703032
1,703032I005302,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 58 L=1815 ﾌﾞﾗｯｸ0014,H14ﾌｧｽﾅｰ,本,0,0,703032
1,703032I005203,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 69 L=2170 Dﾌﾞﾗｳﾝ2519,A14ﾌｧｽﾅｰｶﾞ,本,0,0,703032
1,703032I005303,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ 69 L=2175 ﾌﾞﾗｯｸ0014,H14ﾌｧｽﾅｰ,本,0,0,703032
1,703032I005204,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ L=1530 Dﾌﾞﾗｳﾝ2519,A14ﾌｧｽﾅｰｶﾞ,本,0,0,703032
1,703032I005205,A14ﾌｧｽﾅｰｶﾞｰﾄﾞ L=1895 Dﾌﾞﾗｳﾝ2519,A14ﾌｧｽﾅｰｶﾞ,本,0,0,703032
